"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","userCanCreateBuildTypeTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 17:10:32 UTC 2026","skipped","Sat Mar 14 17:10:32 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanCreateBuildTypeTest"
"","0","userCanNotCreateBuildTypeWithEmptyNameTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 17:10:33 UTC 2026","skipped","Sat Mar 14 17:10:33 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanNotCreateBuildTypeWithEmptyNameTest"
"","286","shouldReturnNotFoundForNonexistentAgent(CreateUserResponse)","","Sat Mar 14 17:10:47 UTC 2026","passed","Sat Mar 14 17:10:48 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnNotFoundForNonexistentAgent"
"","14245","Негативный тест: для несуществующего проекта в поиске sidebar отображается предложение создать проект","","Sat Mar 14 17:10:33 UTC 2026","broken","Sat Mar 14 17:10:47 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","nonexistentProjectShouldSuggestCreateProjectInSidebarTest"
"","642","Позитивный тест: удаление проекта","","Sat Mar 14 17:10:45 UTC 2026","passed","Sat Mar 14 17:10:45 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userDeleteProjectTest"
"","14647","Позитивный тест: проверка навигационного меню","","Sat Mar 14 17:10:32 UTC 2026","broken","Sat Mar 14 17:10:47 UTC 2026","","ui.LeftNavigationMenuTest","ui.LeftNavigationMenuTest","leftNavigationMenuItemsShouldBeVisible"
"","194","Негативная проверка роли пользователя","","Sat Mar 14 17:10:42 UTC 2026","passed","Sat Mar 14 17:10:42 UTC 2026","","api.UsersPermissionsTest","api.UsersPermissionsTest","getRoleWithInvalidId"
"","0","userCantCreateBuildStepWithSameIdTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 17:10:32 UTC 2026","skipped","Sat Mar 14 17:10:32 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCantCreateBuildStepWithSameIdTest"
"","537","Негативный тест: создание проекта с тем же id","","Sat Mar 14 17:10:46 UTC 2026","passed","Sat Mar 14 17:10:46 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userCanNotCreateProjectWithSameIdTest"
"","0","userCanNotCreateBuildTypeWithSameNameTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 17:10:33 UTC 2026","skipped","Sat Mar 14 17:10:33 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanNotCreateBuildTypeWithSameNameTest"
