"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","605","Позитивный тест: получение информации о созданной билд конфигурации","","Sat Mar 14 11:30:46 UTC 2026","passed","Sat Mar 14 11:30:46 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeTest"
"","2609","shouldReturnListOfAuthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 11:30:46 UTC 2026","passed","Sat Mar 14 11:30:49 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfAuthorizedAgents"
"","0","Получение всех рутов","","Sat Mar 14 11:30:45 UTC 2026","skipped","Sat Mar 14 11:30:45 UTC 2026","","api.VCSRootTest","api.VCSRootTest","getAllRoots"
"","30278","Позитивный тест: проверка навигационного меню","","Sat Mar 14 11:30:58 UTC 2026","passed","Sat Mar 14 11:31:28 UTC 2026","","ui.LeftNavigationMenuTest","ui.LeftNavigationMenuTest","leftNavigationMenuItemsShouldBeVisible"
"","1","userCanCreateBuildTypeTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 11:30:58 UTC 2026","skipped","Sat Mar 14 11:30:58 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanCreateBuildTypeTest"
"","490","Негативный тест: создание проекта с тем же id","","Sat Mar 14 11:30:46 UTC 2026","passed","Sat Mar 14 11:30:46 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userCanNotCreateProjectWithSameIdTest"
"","2723","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 11:30:44 UTC 2026","passed","Sat Mar 14 11:30:47 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","7850","shouldCreateStepForExistingBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:30:36 UTC 2026","passed","Sat Mar 14 11:30:44 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldCreateStepForExistingBuild"
"","4","userCanGetInfoAboutQueuedBuildById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:30:36 UTC 2026","skipped","Sat Mar 14 11:30:36 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutQueuedBuildById"
"","1845","shouldProvideListOfAvailableAgents(CreateUserResponse)","","Sat Mar 14 11:30:48 UTC 2026","passed","Sat Mar 14 11:30:50 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideListOfAvailableAgents"
"","0","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:30:37 UTC 2026","skipped","Sat Mar 14 11:30:37 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue"
"","37060","Позитивный тест: созданный по API проект отображается на UI","","Sat Mar 14 11:31:00 UTC 2026","passed","Sat Mar 14 11:31:37 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeVisibleOnUiTest"
"","1830","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 11:30:48 UTC 2026","passed","Sat Mar 14 11:30:49 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","2781","Позитивный тест: создание проекта","","Sat Mar 14 11:30:41 UTC 2026","passed","Sat Mar 14 11:30:44 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userCreateProjectTest"
"","33301","userCanUnauthorizeAgent(CreateUserResponse, Agent[])","","Sat Mar 14 11:31:01 UTC 2026","passed","Sat Mar 14 11:31:34 UTC 2026","","ui.AgentsTest","ui.AgentsTest","userCanUnauthorizeAgent"
"","576","Создание нового рута","","Sat Mar 14 11:30:44 UTC 2026","passed","Sat Mar 14 11:30:45 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createNewRoot"
"","661","Позитивный тест: удаление проекта","","Sat Mar 14 11:30:45 UTC 2026","passed","Sat Mar 14 11:30:45 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userDeleteProjectTest"
"","30372","Негативный тест: для несуществующего проекта в поиске sidebar отображается предложение создать проект","","Sat Mar 14 11:30:58 UTC 2026","passed","Sat Mar 14 11:31:28 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","nonexistentProjectShouldSuggestCreateProjectInSidebarTest"
"","2138","shouldReturnListOfDisabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 11:30:48 UTC 2026","passed","Sat Mar 14 11:30:50 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfDisabledAgents"
"","790","shouldDeleteExistingStepById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:30:45 UTC 2026","passed","Sat Mar 14 11:30:46 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldDeleteExistingStepById"
"","146","shouldReturnNotFoundForNonexistentAgent(CreateUserResponse)","","Sat Mar 14 11:30:49 UTC 2026","passed","Sat Mar 14 11:30:49 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnNotFoundForNonexistentAgent"
"","121","Негативный тест: удаление несуществующей билд конфигурации","","Sat Mar 14 11:30:48 UTC 2026","passed","Sat Mar 14 11:30:48 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteNotExistBuildTypeTest"
"","884","shouldReturnZeroBuildStepsInNewlyCreatedBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:30:44 UTC 2026","passed","Sat Mar 14 11:30:45 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldReturnZeroBuildStepsInNewlyCreatedBuild"
"","0","userCanDisableAgent(CreateUserResponse, Agent[])","","Sat Mar 14 11:30:58 UTC 2026","skipped","Sat Mar 14 11:30:58 UTC 2026","","ui.AgentsTest","ui.AgentsTest","userCanDisableAgent"
"","0","userCanCancelStartedBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:30:37 UTC 2026","skipped","Sat Mar 14 11:30:37 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanCancelStartedBuild"
"","2","userCantCreateBuildStepWithSameIdTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:30:58 UTC 2026","skipped","Sat Mar 14 11:30:58 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCantCreateBuildStepWithSameIdTest"
"","718","Позитивный тест: создание билд конфигурации","","Sat Mar 14 11:30:47 UTC 2026","passed","Sat Mar 14 11:30:48 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userCreateBuildTypeTest"
"","197","shouldNotBeAbleToEnableAgentWithoutPermissions(CreateUserResponse)","","Sat Mar 14 11:30:48 UTC 2026","passed","Sat Mar 14 11:30:49 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldNotBeAbleToEnableAgentWithoutPermissions"
"","3302","Негативный тест: создание билд конфигурации с именем уже созданной конфигурации","","Sat Mar 14 11:30:43 UTC 2026","passed","Sat Mar 14 11:30:46 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userCanNotCreateBuildTypeWithSameNameTest"
"","721","Негативный тест: удаление билд конфигурации без прав админа","","Sat Mar 14 11:30:46 UTC 2026","passed","Sat Mar 14 11:30:47 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteBuildTypeWithoutRulesTest"
"","556","Позитивный тест: получение информации о проекте по id","","Sat Mar 14 11:30:47 UTC 2026","passed","Sat Mar 14 11:30:48 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByIdTest"
"","4742","Негативный тест: получение информации о не существующей билд конфигурации","","Sat Mar 14 11:30:36 UTC 2026","passed","Sat Mar 14 11:30:41 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoAboutNotExistBuildTypeTest"
"","2159","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 11:30:45 UTC 2026","passed","Sat Mar 14 11:30:47 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","357","Позитивный тест: получение информации о списке созданных билд конфигураций","","Sat Mar 14 11:30:48 UTC 2026","passed","Sat Mar 14 11:30:48 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeListTest"
"","0","userCanNotCreateBuildTypeWithSameNameTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 11:30:58 UTC 2026","skipped","Sat Mar 14 11:30:58 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanNotCreateBuildTypeWithSameNameTest"
"","2282","shouldProvideInfoAboutAgentById(CreateUserResponse, Agent[])","","Sat Mar 14 11:30:47 UTC 2026","passed","Sat Mar 14 11:30:49 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideInfoAboutAgentById"
"","0","userCanQueueRegularBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:30:37 UTC 2026","skipped","Sat Mar 14 11:30:37 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanQueueRegularBuild"
"","3009","Негативный тест: получение информации о проекте по несуществующему id","","Sat Mar 14 11:30:38 UTC 2026","passed","Sat Mar 14 11:30:41 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByNotExistIdTest"
"","1146","Позитивный тест: удаление билд конфигурации","","Sat Mar 14 11:30:41 UTC 2026","passed","Sat Mar 14 11:30:42 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteBuildTypeTest"
"","2628","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 11:30:41 UTC 2026","passed","Sat Mar 14 11:30:44 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","7795","Создание одинакового рута","","Sat Mar 14 11:30:36 UTC 2026","passed","Sat Mar 14 11:30:44 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createDuplicateVcsRoot"
"","2","userCanNotCreateBuildTypeWithEmptyNameTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 11:30:58 UTC 2026","skipped","Sat Mar 14 11:30:58 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanNotCreateBuildTypeWithEmptyNameTest"
"","503","Позитивный тест: обновление параметра name проекта","","Sat Mar 14 11:30:46 UTC 2026","passed","Sat Mar 14 11:30:47 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userUpdateProjectNameTest"
"","29420","Позитивный тест: проект успешно находится через поиск в sidebar","","Sat Mar 14 11:30:58 UTC 2026","passed","Sat Mar 14 11:31:28 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeFoundBySearchInProjectsSidebarTest"
"","367","Негативный тест: удаление несуществующего проекта","","Sat Mar 14 11:30:44 UTC 2026","passed","Sat Mar 14 11:30:45 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userDeleteNotExistProjectTest"
"","2597","shouldReturnListOfEnabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 11:30:43 UTC 2026","passed","Sat Mar 14 11:30:46 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfEnabledAgents"
"","789","Позитивный тест: получение списка проектов","","Sat Mar 14 11:30:45 UTC 2026","passed","Sat Mar 14 11:30:46 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectsListTest"
"","6720","userCanAccessServerInfoUsingBaseAuth(CreateUserResponse)","","Sat Mar 14 11:30:36 UTC 2026","passed","Sat Mar 14 11:30:43 UTC 2026","","api.LoginTest","api.LoginTest","userCanAccessServerInfoUsingBaseAuth"
"","43179","userCanCreateBuildStepTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:30:58 UTC 2026","passed","Sat Mar 14 11:31:41 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCanCreateBuildStepTest"
"","1969","shouldReturnListOfUnauthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 11:30:46 UTC 2026","passed","Sat Mar 14 11:30:48 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfUnauthorizedAgents"
