"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","324","Негативный тест: удаление несуществующей билд конфигурации","","Sat Mar 14 16:22:37 UTC 2026","passed","Sat Mar 14 16:22:38 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteNotExistBuildTypeTest"
"","0","userCantCreateBuildStepWithSameIdTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 16:22:25 UTC 2026","skipped","Sat Mar 14 16:22:25 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCantCreateBuildStepWithSameIdTest"
"","740","Создание нового рута","","Sat Mar 14 16:22:34 UTC 2026","passed","Sat Mar 14 16:22:34 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createNewRoot"
"","3788","Негативный тест: создание билд конфигурации с именем уже созданной конфигурации","","Sat Mar 14 16:22:34 UTC 2026","passed","Sat Mar 14 16:22:38 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userCanNotCreateBuildTypeWithSameNameTest"
"","0","Получение всех пользователей","","Sat Mar 14 16:22:35 UTC 2026","skipped","Sat Mar 14 16:22:35 UTC 2026","","api.UsersPermissionsTest","api.UsersPermissionsTest","getListOfUsers"
"","587","shouldNotBeAbleToEnableAgentWithoutPermissions(CreateUserResponse)","","Sat Mar 14 16:22:37 UTC 2026","passed","Sat Mar 14 16:22:37 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldNotBeAbleToEnableAgentWithoutPermissions"
"","2020","shouldDeleteExistingStepById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 16:22:32 UTC 2026","passed","Sat Mar 14 16:22:34 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldDeleteExistingStepById"
"","8050","userCanUnauthorizeAgent(CreateUserResponse, Agent[])","","Sat Mar 14 16:22:28 UTC 2026","broken","Sat Mar 14 16:22:37 UTC 2026","","ui.AgentsTest","ui.AgentsTest","userCanUnauthorizeAgent"
"","560","Позитивный тест: удаление проекта","","Sat Mar 14 16:22:35 UTC 2026","passed","Sat Mar 14 16:22:36 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userDeleteProjectTest"
"","1010","Негативная проверка роли пользователя","","Sat Mar 14 16:22:33 UTC 2026","passed","Sat Mar 14 16:22:34 UTC 2026","","api.UsersPermissionsTest","api.UsersPermissionsTest","getRoleWithInvalidId"
"","11439","Негативный тест: для несуществующего проекта в поиске sidebar отображается предложение создать проект","","Sat Mar 14 16:22:25 UTC 2026","broken","Sat Mar 14 16:22:36 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","nonexistentProjectShouldSuggestCreateProjectInSidebarTest"
"","3639","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 16:22:38 UTC 2026","passed","Sat Mar 14 16:22:42 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","699","Позитивный тест: создание билд конфигурации","","Sat Mar 14 16:22:37 UTC 2026","passed","Sat Mar 14 16:22:38 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userCreateBuildTypeTest"
"","824","Позитивный тест: получение списка проектов","","Sat Mar 14 16:22:36 UTC 2026","passed","Sat Mar 14 16:22:37 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectsListTest"
"","1346","Создание одинакового рута","","Sat Mar 14 16:22:32 UTC 2026","passed","Sat Mar 14 16:22:34 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createDuplicateVcsRoot"
"","11751","userCanCreateBuildStepTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 16:22:25 UTC 2026","broken","Sat Mar 14 16:22:36 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCanCreateBuildStepTest"
"","295","Негативный тест: удаление несуществующего проекта","","Sat Mar 14 16:22:35 UTC 2026","passed","Sat Mar 14 16:22:35 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userDeleteNotExistProjectTest"
"","3799","shouldReturnListOfUnauthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 16:22:37 UTC 2026","passed","Sat Mar 14 16:22:40 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfUnauthorizedAgents"
"","2","userCanCreateBuildTypeTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 16:22:24 UTC 2026","skipped","Sat Mar 14 16:22:24 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanCreateBuildTypeTest"
"","416","Позитивный тест: получение информации о созданной билд конфигурации","","Sat Mar 14 16:22:38 UTC 2026","passed","Sat Mar 14 16:22:39 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeTest"
"","3896","shouldProvideInfoAboutAgentById(CreateUserResponse, Agent[])","","Sat Mar 14 16:22:37 UTC 2026","passed","Sat Mar 14 16:22:41 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideInfoAboutAgentById"
"","4759","Позитивный тест: проект успешно находится через поиск в sidebar","","Sat Mar 14 16:22:32 UTC 2026","broken","Sat Mar 14 16:22:36 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeFoundBySearchInProjectsSidebarTest"
"","636","shouldReturnZeroBuildStepsInNewlyCreatedBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 16:22:31 UTC 2026","passed","Sat Mar 14 16:22:32 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldReturnZeroBuildStepsInNewlyCreatedBuild"
"","8673","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 16:22:29 UTC 2026","passed","Sat Mar 14 16:22:38 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","434","Негативный тест: получение информации о не существующей билд конфигурации","","Sat Mar 14 16:22:33 UTC 2026","passed","Sat Mar 14 16:22:33 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoAboutNotExistBuildTypeTest"
"","3438","shouldReturnListOfAuthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 16:22:37 UTC 2026","passed","Sat Mar 14 16:22:40 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfAuthorizedAgents"
"","348","shouldReturnNotFoundForNonexistentAgent(CreateUserResponse)","","Sat Mar 14 16:22:37 UTC 2026","passed","Sat Mar 14 16:22:37 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnNotFoundForNonexistentAgent"
"","0","userCanQueueRegularBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 16:22:25 UTC 2026","skipped","Sat Mar 14 16:22:25 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanQueueRegularBuild"
"","3184","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 16:22:36 UTC 2026","passed","Sat Mar 14 16:22:39 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","11714","Позитивный тест: проверка навигационного меню","","Sat Mar 14 16:22:25 UTC 2026","broken","Sat Mar 14 16:22:36 UTC 2026","","ui.LeftNavigationMenuTest","ui.LeftNavigationMenuTest","leftNavigationMenuItemsShouldBeVisible"
"","771","Негативный тест: удаление билд конфигурации без прав админа","","Sat Mar 14 16:22:38 UTC 2026","passed","Sat Mar 14 16:22:38 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteBuildTypeWithoutRulesTest"
"","4766","Позитивный тест: созданный по API проект отображается на UI","","Sat Mar 14 16:22:32 UTC 2026","broken","Sat Mar 14 16:22:36 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeVisibleOnUiTest"
