"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","userCanDisableAgent(CreateUserResponse, Agent[])","","Sat Mar 14 11:09:26 UTC 2026","skipped","Sat Mar 14 11:09:26 UTC 2026","","ui.AgentsTest","ui.AgentsTest","userCanDisableAgent"
"","165","shouldReturnNotFoundForNonexistentAgent(CreateUserResponse)","","Sat Mar 14 11:09:17 UTC 2026","passed","Sat Mar 14 11:09:17 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnNotFoundForNonexistentAgent"
"","1037","shouldDeleteExistingStepById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:09:14 UTC 2026","passed","Sat Mar 14 11:09:15 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldDeleteExistingStepById"
"","794","shouldReturnZeroBuildStepsInNewlyCreatedBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:09:13 UTC 2026","passed","Sat Mar 14 11:09:14 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldReturnZeroBuildStepsInNewlyCreatedBuild"
"","3357","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 11:09:08 UTC 2026","passed","Sat Mar 14 11:09:11 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","5222","Негативный тест: получение информации о не существующей билд конфигурации","","Sat Mar 14 11:09:03 UTC 2026","passed","Sat Mar 14 11:09:08 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoAboutNotExistBuildTypeTest"
"","204","shouldNotBeAbleToEnableAgentWithoutPermissions(CreateUserResponse)","","Sat Mar 14 11:09:17 UTC 2026","passed","Sat Mar 14 11:09:17 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldNotBeAbleToEnableAgentWithoutPermissions"
"","1614","Позитивный тест: получение списка проектов","","Sat Mar 14 11:09:12 UTC 2026","passed","Sat Mar 14 11:09:14 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectsListTest"
"","7196","userCanAccessServerInfoUsingBaseAuth(CreateUserResponse)","","Sat Mar 14 11:09:03 UTC 2026","passed","Sat Mar 14 11:09:10 UTC 2026","","api.LoginTest","api.LoginTest","userCanAccessServerInfoUsingBaseAuth"
"","1","userCanGetInfoAboutQueuedBuildById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 11:09:03 UTC 2026","skipped","Sat Mar 14 11:09:03 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutQueuedBuildById"
"","617","Позитивный тест: обновление параметра name проекта","","Sat Mar 14 11:09:14 UTC 2026","passed","Sat Mar 14 11:09:15 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userUpdateProjectNameTest"
"","356","Позитивный тест: создание билд конфигурации","","Sat Mar 14 11:09:16 UTC 2026","passed","Sat Mar 14 11:09:16 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userCreateBuildTypeTest"
"","805","Позитивный тест: получение информации о созданной билд конфигурации","","Sat Mar 14 11:09:14 UTC 2026","passed","Sat Mar 14 11:09:15 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeTest"
"","3332","shouldReturnListOfEnabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 11:09:11 UTC 2026","passed","Sat Mar 14 11:09:14 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfEnabledAgents"
"","444","Позитивный тест: получение информации о проекте по id","","Sat Mar 14 11:09:15 UTC 2026","passed","Sat Mar 14 11:09:16 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByIdTest"
