"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242","shouldReturnNotFoundForNonexistentAgent(CreateUserResponse)","","Sat Mar 14 10:55:24 UTC 2026","passed","Sat Mar 14 10:55:24 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnNotFoundForNonexistentAgent"
"","31887","userCanUnauthorizeAgent(CreateUserResponse, Agent[])","","Sat Mar 14 10:55:34 UTC 2026","passed","Sat Mar 14 10:56:06 UTC 2026","","ui.AgentsTest","ui.AgentsTest","userCanUnauthorizeAgent"
"","0","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:55:14 UTC 2026","skipped","Sat Mar 14 10:55:14 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue"
"","726","Позитивный тест: удаление проекта","","Sat Mar 14 10:55:19 UTC 2026","passed","Sat Mar 14 10:55:20 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userDeleteProjectTest"
"","233","Негативный тест: удаление несуществующей билд конфигурации","","Sat Mar 14 10:55:23 UTC 2026","passed","Sat Mar 14 10:55:24 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteNotExistBuildTypeTest"
"","751","Негативный тест: создание проекта с тем же id","","Sat Mar 14 10:55:21 UTC 2026","passed","Sat Mar 14 10:55:22 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userCanNotCreateProjectWithSameIdTest"
"","444","Позитивный тест: создание билд конфигурации","","Sat Mar 14 10:55:23 UTC 2026","passed","Sat Mar 14 10:55:23 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userCreateBuildTypeTest"
"","332","shouldNotBeAbleToEnableAgentWithoutPermissions(CreateUserResponse)","","Sat Mar 14 10:55:24 UTC 2026","passed","Sat Mar 14 10:55:24 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldNotBeAbleToEnableAgentWithoutPermissions"
"","772","shouldDeleteExistingStepById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:55:21 UTC 2026","passed","Sat Mar 14 10:55:22 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldDeleteExistingStepById"
"","37261","Позитивный тест: проект успешно находится через поиск в sidebar","","Sat Mar 14 10:55:33 UTC 2026","passed","Sat Mar 14 10:56:10 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeFoundBySearchInProjectsSidebarTest"
"","474","Позитивный тест: получение информации о проекте по id","","Sat Mar 14 10:55:23 UTC 2026","passed","Sat Mar 14 10:55:23 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByIdTest"
"","5024","userCanAccessServerInfoUsingBaseAuth(CreateUserResponse)","","Sat Mar 14 10:55:14 UTC 2026","passed","Sat Mar 14 10:55:19 UTC 2026","","api.LoginTest","api.LoginTest","userCanAccessServerInfoUsingBaseAuth"
"","6203","shouldCreateStepForExistingBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:55:14 UTC 2026","passed","Sat Mar 14 10:55:20 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldCreateStepForExistingBuild"
"","48780","userCanCreateBuildStepTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:55:34 UTC 2026","passed","Sat Mar 14 10:56:23 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCanCreateBuildStepTest"
"","2688","Негативный тест: получение информации о проекте по несуществующему id","","Sat Mar 14 10:55:15 UTC 2026","passed","Sat Mar 14 10:55:17 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByNotExistIdTest"
"","40301","userCanCreateBuildTypeTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 10:55:34 UTC 2026","failed","Sat Mar 14 10:56:15 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanCreateBuildTypeTest"
"","1952","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 10:55:20 UTC 2026","passed","Sat Mar 14 10:55:22 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","2285","shouldProvideListOfAvailableAgents(CreateUserResponse)","","Sat Mar 14 10:55:23 UTC 2026","passed","Sat Mar 14 10:55:26 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideListOfAvailableAgents"
"","0","userCanCancelStartedBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:55:14 UTC 2026","skipped","Sat Mar 14 10:55:14 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanCancelStartedBuild"
"","44817","userCanNotCreateBuildTypeWithEmptyNameTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 10:55:34 UTC 2026","failed","Sat Mar 14 10:56:19 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanNotCreateBuildTypeWithEmptyNameTest"
"","2556","shouldReturnListOfUnauthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 10:55:22 UTC 2026","passed","Sat Mar 14 10:55:24 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfUnauthorizedAgents"
"","716","shouldReturnZeroBuildStepsInNewlyCreatedBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:55:20 UTC 2026","passed","Sat Mar 14 10:55:21 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldReturnZeroBuildStepsInNewlyCreatedBuild"
"","1101","Позитивный тест: получение списка проектов","","Sat Mar 14 10:55:20 UTC 2026","passed","Sat Mar 14 10:55:21 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectsListTest"
"","0","Получение всех рутов","","Sat Mar 14 10:55:20 UTC 2026","skipped","Sat Mar 14 10:55:20 UTC 2026","","api.VCSRootTest","api.VCSRootTest","getAllRoots"
"","2","userCanGetInfoAboutQueuedBuildById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:55:14 UTC 2026","skipped","Sat Mar 14 10:55:14 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutQueuedBuildById"
"","5720","Создание одинакового рута","","Sat Mar 14 10:55:14 UTC 2026","passed","Sat Mar 14 10:55:20 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createDuplicateVcsRoot"
"","620","Позитивный тест: обновление параметра name проекта","","Sat Mar 14 10:55:22 UTC 2026","passed","Sat Mar 14 10:55:23 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userUpdateProjectNameTest"
"","44360","userCantCreateBuildStepWithSameIdTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:55:32 UTC 2026","failed","Sat Mar 14 10:56:16 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCantCreateBuildStepWithSameIdTest"
"","27437","Негативный тест: для несуществующего проекта в поиске sidebar отображается предложение создать проект","","Sat Mar 14 10:55:32 UTC 2026","passed","Sat Mar 14 10:55:59 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","nonexistentProjectShouldSuggestCreateProjectInSidebarTest"
"","2730","shouldProvideInfoAboutAgentById(CreateUserResponse, Agent[])","","Sat Mar 14 10:55:22 UTC 2026","passed","Sat Mar 14 10:55:25 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideInfoAboutAgentById"
"","2962","Негативный тест: создание билд конфигурации с именем уже созданной конфигурации","","Sat Mar 14 10:55:19 UTC 2026","passed","Sat Mar 14 10:55:22 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userCanNotCreateBuildTypeWithSameNameTest"
"","492","Позитивный тест: получение информации о списке созданных билд конфигураций","","Sat Mar 14 10:55:24 UTC 2026","passed","Sat Mar 14 10:55:24 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeListTest"
"","1794","shouldReturnListOfEnabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 10:55:19 UTC 2026","passed","Sat Mar 14 10:55:21 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfEnabledAgents"
"","708","Негативный тест: удаление билд конфигурации без прав админа","","Sat Mar 14 10:55:22 UTC 2026","passed","Sat Mar 14 10:55:23 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteBuildTypeWithoutRulesTest"
