"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3354","Негативный тест: получение информации о не существующей билд конфигурации","","Sat Mar 14 04:36:49 UTC 2026","passed","Sat Mar 14 04:36:52 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoAboutNotExistBuildTypeTest"
"","0","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 04:36:49 UTC 2026","skipped","Sat Mar 14 04:36:49 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue"
"","0","userCanGetInfoAboutQueuedBuildById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 04:36:49 UTC 2026","skipped","Sat Mar 14 04:36:49 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutQueuedBuildById"
"","2781","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 04:36:55 UTC 2026","passed","Sat Mar 14 04:36:58 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","285","shouldNotBeAbleToEnableAgentWithoutPermissions(CreateUserResponse)","","Sat Mar 14 04:36:59 UTC 2026","passed","Sat Mar 14 04:36:59 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldNotBeAbleToEnableAgentWithoutPermissions"
"","383","Негативный тест: удаление несуществующего проекта","","Sat Mar 14 04:36:54 UTC 2026","passed","Sat Mar 14 04:36:55 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userDeleteNotExistProjectTest"
"","31988","userCanNotCreateBuildTypeWithSameNameTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 04:37:07 UTC 2026","failed","Sat Mar 14 04:37:39 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanNotCreateBuildTypeWithSameNameTest"
"","735","Позитивный тест: получение информации о созданной билд конфигурации","","Sat Mar 14 04:36:56 UTC 2026","passed","Sat Mar 14 04:36:57 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeTest"
"","770","Негативный тест: удаление билд конфигурации без прав админа","","Sat Mar 14 04:36:57 UTC 2026","passed","Sat Mar 14 04:36:58 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteBuildTypeWithoutRulesTest"
"","2247","shouldReturnListOfDisabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 04:36:58 UTC 2026","passed","Sat Mar 14 04:37:00 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfDisabledAgents"
"","3035","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 04:36:54 UTC 2026","passed","Sat Mar 14 04:36:57 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","30928","userCanDisableAgent(CreateUserResponse, Agent[])","","Sat Mar 14 04:37:09 UTC 2026","failed","Sat Mar 14 04:37:40 UTC 2026","","ui.AgentsTest","ui.AgentsTest","userCanDisableAgent"
"","5701","shouldCreateStepForExistingBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 04:36:49 UTC 2026","passed","Sat Mar 14 04:36:55 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldCreateStepForExistingBuild"
"","25915","Негативный тест: для несуществующего проекта в поиске sidebar отображается предложение создать проект","","Sat Mar 14 04:37:07 UTC 2026","passed","Sat Mar 14 04:37:33 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","nonexistentProjectShouldSuggestCreateProjectInSidebarTest"
"","765","Позитивный тест: обновление параметра name проекта","","Sat Mar 14 04:36:57 UTC 2026","passed","Sat Mar 14 04:36:58 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userUpdateProjectNameTest"
"","414","Позитивный тест: получение информации о проекте по id","","Sat Mar 14 04:36:58 UTC 2026","passed","Sat Mar 14 04:36:58 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByIdTest"
"","1892","shouldProvideListOfAvailableAgents(CreateUserResponse)","","Sat Mar 14 04:36:59 UTC 2026","passed","Sat Mar 14 04:37:01 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideListOfAvailableAgents"
"","2442","shouldReturnListOfAuthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 04:36:57 UTC 2026","passed","Sat Mar 14 04:36:59 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfAuthorizedAgents"
