"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2435","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Mon Mar 09 12:18:38 UTC 2026","passed","Mon Mar 09 12:18:40 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","2136","shouldReturnListOfAuthorizedAgents(CreateUserResponse, Agent[])","","Mon Mar 09 12:18:36 UTC 2026","passed","Mon Mar 09 12:18:39 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfAuthorizedAgents"
"","2894","shouldReturnListOfEnabledAgents(CreateUserResponse, Agent[])","","Mon Mar 09 12:18:33 UTC 2026","passed","Mon Mar 09 12:18:36 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfEnabledAgents"
"","38211","Позитивный тест: созданный по API проект отображается на UI","","Mon Mar 09 12:18:50 UTC 2026","passed","Mon Mar 09 12:19:28 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeVisibleOnUiTest"
"","28190","Негативный тест: для несуществующего проекта в поиске sidebar отображается предложение создать проект","","Mon Mar 09 12:18:47 UTC 2026","passed","Mon Mar 09 12:19:15 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","nonexistentProjectShouldSuggestCreateProjectInSidebarTest"
"","0","userCanQueueRegularBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Mon Mar 09 12:18:28 UTC 2026","skipped","Mon Mar 09 12:18:28 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanQueueRegularBuild"
"","927","Позитивный тест: получение списка проектов","","Mon Mar 09 12:18:35 UTC 2026","passed","Mon Mar 09 12:18:36 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectsListTest"
"","6181","Создание одинакового рута","","Mon Mar 09 12:18:28 UTC 2026","passed","Mon Mar 09 12:18:34 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createDuplicateVcsRoot"
"","45902","userCanCreateBuildTypeTest(CreateUserResponse, ProjectResponse)","","Mon Mar 09 12:18:50 UTC 2026","failed","Mon Mar 09 12:19:35 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanCreateBuildTypeTest"
"","720","Негативный тест: удаление билд конфигурации без прав админа","","Mon Mar 09 12:18:37 UTC 2026","passed","Mon Mar 09 12:18:38 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteBuildTypeWithoutRulesTest"
