"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30166","userCanDisableAgent(CreateUserResponse, Agent[])","","Sat Mar 14 07:11:43 UTC 2026","failed","Sat Mar 14 07:12:13 UTC 2026","","ui.AgentsTest","ui.AgentsTest","userCanDisableAgent"
"","3","Получение всех рутов","","Sat Mar 14 07:11:29 UTC 2026","skipped","Sat Mar 14 07:11:29 UTC 2026","","api.VCSRootTest","api.VCSRootTest","getAllRoots"
"","2907","shouldReturnListOfEnabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 07:11:28 UTC 2026","passed","Sat Mar 14 07:11:31 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfEnabledAgents"
"","548","Позитивный тест: получение информации о списке созданных билд конфигураций","","Sat Mar 14 07:11:32 UTC 2026","passed","Sat Mar 14 07:11:33 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeListTest"
"","1269","Позитивный тест: удаление билд конфигурации","","Sat Mar 14 07:11:26 UTC 2026","passed","Sat Mar 14 07:11:27 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteBuildTypeTest"
"","705","Негативный тест: создание проекта с тем же id","","Sat Mar 14 07:11:31 UTC 2026","passed","Sat Mar 14 07:11:31 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userCanNotCreateProjectWithSameIdTest"
"","2179","Позитивный тест: создание проекта","","Sat Mar 14 07:11:26 UTC 2026","passed","Sat Mar 14 07:11:28 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userCreateProjectTest"
"","661","Позитивный тест: обновление параметра name проекта","","Sat Mar 14 07:11:31 UTC 2026","passed","Sat Mar 14 07:11:32 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userUpdateProjectNameTest"
"","0","shouldCreateUserWithSystemAdminRole()","","Sat Mar 14 07:11:23 UTC 2026","skipped","Sat Mar 14 07:11:23 UTC 2026","","api.sample.UserManagementTest","api.sample.UserManagementTest","shouldCreateUserWithSystemAdminRole"
"","1078","shouldDeleteExistingStepById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 07:11:30 UTC 2026","passed","Sat Mar 14 07:11:31 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldDeleteExistingStepById"
"","2860","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 07:11:28 UTC 2026","passed","Sat Mar 14 07:11:31 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","49790","userCanNotCreateBuildTypeWithEmptyNameTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 07:11:44 UTC 2026","failed","Sat Mar 14 07:12:33 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanNotCreateBuildTypeWithEmptyNameTest"
"","141","shouldReturnNotFoundForNonexistentAgent(CreateUserResponse)","","Sat Mar 14 07:11:33 UTC 2026","passed","Sat Mar 14 07:11:33 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnNotFoundForNonexistentAgent"
"","0","userCanCancelStartedBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 07:11:23 UTC 2026","skipped","Sat Mar 14 07:11:23 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanCancelStartedBuild"
"","3426","Негативный тест: получение информации о не существующей билд конфигурации","","Sat Mar 14 07:11:23 UTC 2026","passed","Sat Mar 14 07:11:26 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoAboutNotExistBuildTypeTest"
"","381","Негативный тест: удаление несуществующего проекта","","Sat Mar 14 07:11:28 UTC 2026","passed","Sat Mar 14 07:11:28 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userDeleteNotExistProjectTest"
"","0","userCanQueueRegularBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 07:11:23 UTC 2026","skipped","Sat Mar 14 07:11:23 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanQueueRegularBuild"
"","5026","userCanAccessServerInfoUsingBaseAuth(CreateUserResponse)","","Sat Mar 14 07:11:22 UTC 2026","passed","Sat Mar 14 07:11:28 UTC 2026","","api.LoginTest","api.LoginTest","userCanAccessServerInfoUsingBaseAuth"
"","0","noLogin()","","Sat Mar 14 07:11:41 UTC 2026","skipped","Sat Mar 14 07:11:41 UTC 2026","","ui.sample.SampleUiTest","ui.sample.SampleUiTest","noLogin"
"","2","buildSampleTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 07:11:22 UTC 2026","skipped","Sat Mar 14 07:11:22 UTC 2026","","api.sample.SampleTest","api.sample.SampleTest","buildSampleTest"
"","3274","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 07:11:25 UTC 2026","passed","Sat Mar 14 07:11:28 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","6508","shouldCreateStepForExistingBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 07:11:22 UTC 2026","passed","Sat Mar 14 07:11:29 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldCreateStepForExistingBuild"
"","1","sampleUiTest2(CreateUserResponse)","","Sat Mar 14 07:11:41 UTC 2026","skipped","Sat Mar 14 07:11:41 UTC 2026","","ui.sample.SampleUiTest","ui.sample.SampleUiTest","sampleUiTest2"
"","1826","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 07:11:32 UTC 2026","passed","Sat Mar 14 07:11:34 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","489","Позитивный тест: получение информации о проекте по id","","Sat Mar 14 07:11:32 UTC 2026","passed","Sat Mar 14 07:11:32 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByIdTest"
"","2070","shouldProvideListOfAvailableAgents(CreateUserResponse)","","Sat Mar 14 07:11:33 UTC 2026","passed","Sat Mar 14 07:11:35 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideListOfAvailableAgents"
"","2360","shouldReturnListOfUnauthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 07:11:31 UTC 2026","passed","Sat Mar 14 07:11:34 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfUnauthorizedAgents"
"","39640","Позитивный тест: созданный по API проект отображается на UI","","Sat Mar 14 07:11:44 UTC 2026","passed","Sat Mar 14 07:12:23 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeVisibleOnUiTest"
"","27101","Позитивный тест: проверка навигационного меню","","Sat Mar 14 07:11:41 UTC 2026","passed","Sat Mar 14 07:12:08 UTC 2026","","ui.LeftNavigationMenuTest","ui.LeftNavigationMenuTest","leftNavigationMenuItemsShouldBeVisible"
"","37362","Позитивный тест: проект успешно находится через поиск в sidebar","","Sat Mar 14 07:11:42 UTC 2026","passed","Sat Mar 14 07:12:20 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeFoundBySearchInProjectsSidebarTest"
"","0","shouldReturnInfoAboutExistingUser(CreateUserResponse)","","Sat Mar 14 07:11:23 UTC 2026","skipped","Sat Mar 14 07:11:23 UTC 2026","","api.sample.UserManagementTest","api.sample.UserManagementTest","shouldReturnInfoAboutExistingUser"
"","758","Позитивный тест: получение информации о созданной билд конфигурации","","Sat Mar 14 07:11:29 UTC 2026","passed","Sat Mar 14 07:11:30 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeTest"
"","0","sampleUiTest1(CreateUserResponse)","","Sat Mar 14 07:11:41 UTC 2026","skipped","Sat Mar 14 07:11:41 UTC 2026","","ui.sample.SampleUiTest","ui.sample.SampleUiTest","sampleUiTest1"
"","964","Негативный тест: удаление билд конфигурации без прав админа","","Sat Mar 14 07:11:30 UTC 2026","passed","Sat Mar 14 07:11:31 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteBuildTypeWithoutRulesTest"
"","45758","userCantCreateBuildStepWithSameIdTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 07:11:41 UTC 2026","failed","Sat Mar 14 07:12:27 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCantCreateBuildStepWithSameIdTest"
"","5865","Создание одинакового рута","","Sat Mar 14 07:11:23 UTC 2026","passed","Sat Mar 14 07:11:28 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createDuplicateVcsRoot"
"","2417","Негативный тест: получение информации о проекте по несуществующему id","","Sat Mar 14 07:11:23 UTC 2026","passed","Sat Mar 14 07:11:26 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByNotExistIdTest"
"","2826","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 07:11:29 UTC 2026","passed","Sat Mar 14 07:11:32 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","1","shouldDeleteExistingUser(CreateUserResponse)","","Sat Mar 14 07:11:22 UTC 2026","skipped","Sat Mar 14 07:11:22 UTC 2026","","api.sample.UserManagementTest","api.sample.UserManagementTest","shouldDeleteExistingUser"
"","2180","Негативный тест: создание билд конфигурации с именем уже созданной конфигурации","","Sat Mar 14 07:11:27 UTC 2026","passed","Sat Mar 14 07:11:29 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userCanNotCreateBuildTypeWithSameNameTest"
"","0","sampleUiTest4(CreateUserResponse)","","Sat Mar 14 07:11:41 UTC 2026","skipped","Sat Mar 14 07:11:41 UTC 2026","","ui.sample.SampleUiTest","ui.sample.SampleUiTest","sampleUiTest4"
"","2","userCanGetInfoAboutQueuedBuildById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 07:11:22 UTC 2026","skipped","Sat Mar 14 07:11:22 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutQueuedBuildById"
"","50399","userCanUnauthorizeAgent(CreateUserResponse, Agent[])","","Sat Mar 14 07:11:44 UTC 2026","passed","Sat Mar 14 07:12:34 UTC 2026","","ui.AgentsTest","ui.AgentsTest","userCanUnauthorizeAgent"
"","27563","Негативный тест: для несуществующего проекта в поиске sidebar отображается предложение создать проект","","Sat Mar 14 07:11:41 UTC 2026","passed","Sat Mar 14 07:12:09 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","nonexistentProjectShouldSuggestCreateProjectInSidebarTest"
"","41074","userCanCreateBuildTypeTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 07:11:44 UTC 2026","failed","Sat Mar 14 07:12:25 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanCreateBuildTypeTest"
"","644","Создание нового рута","","Sat Mar 14 07:11:28 UTC 2026","passed","Sat Mar 14 07:11:29 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createNewRoot"
"","936","shouldReturnZeroBuildStepsInNewlyCreatedBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 07:11:29 UTC 2026","passed","Sat Mar 14 07:11:30 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldReturnZeroBuildStepsInNewlyCreatedBuild"
"","2053","shouldReturnListOfDisabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 07:11:32 UTC 2026","passed","Sat Mar 14 07:11:35 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfDisabledAgents"
"","2254","shouldReturnListOfAuthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 07:11:31 UTC 2026","passed","Sat Mar 14 07:11:33 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfAuthorizedAgents"
"","0","sampleUiTest3(CreateUserResponse)","","Sat Mar 14 07:11:41 UTC 2026","skipped","Sat Mar 14 07:11:41 UTC 2026","","ui.sample.SampleUiTest","ui.sample.SampleUiTest","sampleUiTest3"
"","677","Позитивный тест: удаление проекта","","Sat Mar 14 07:11:28 UTC 2026","passed","Sat Mar 14 07:11:29 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userDeleteProjectTest"
"","33094","userCanNotCreateBuildTypeWithSameNameTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 07:11:41 UTC 2026","failed","Sat Mar 14 07:12:14 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanNotCreateBuildTypeWithSameNameTest"
"","240","shouldNotBeAbleToEnableAgentWithoutPermissions(CreateUserResponse)","","Sat Mar 14 07:11:33 UTC 2026","passed","Sat Mar 14 07:11:33 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldNotBeAbleToEnableAgentWithoutPermissions"
"","48676","userCanCreateBuildStepTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 07:11:44 UTC 2026","failed","Sat Mar 14 07:12:32 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCanCreateBuildStepTest"
"","458","Позитивный тест: создание билд конфигурации","","Sat Mar 14 07:11:31 UTC 2026","passed","Sat Mar 14 07:11:32 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userCreateBuildTypeTest"
"","0","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 07:11:23 UTC 2026","skipped","Sat Mar 14 07:11:23 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue"
"","1325","Позитивный тест: получение списка проектов","","Sat Mar 14 07:11:29 UTC 2026","passed","Sat Mar 14 07:11:30 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectsListTest"
"","2397","shouldProvideInfoAboutAgentById(CreateUserResponse, Agent[])","","Sat Mar 14 07:11:31 UTC 2026","passed","Sat Mar 14 07:11:34 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideInfoAboutAgentById"
"","358","Негативный тест: удаление несуществующей билд конфигурации","","Sat Mar 14 07:11:32 UTC 2026","passed","Sat Mar 14 07:11:32 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteNotExistBuildTypeTest"
"","2","sampleUiTest(CreateUserResponse)","","Sat Mar 14 07:11:41 UTC 2026","skipped","Sat Mar 14 07:11:41 UTC 2026","","ui.sample.SampleUiTest","ui.sample.SampleUiTest","sampleUiTest"
