"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6096","Создание одинакового рута","","Sat Mar 14 10:47:05 UTC 2026","passed","Sat Mar 14 10:47:11 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createDuplicateVcsRoot"
"","29016","Позитивный тест: проверка навигационного меню","","Sat Mar 14 10:47:24 UTC 2026","passed","Sat Mar 14 10:47:53 UTC 2026","","ui.LeftNavigationMenuTest","ui.LeftNavigationMenuTest","leftNavigationMenuItemsShouldBeVisible"
"","2599","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 10:47:12 UTC 2026","passed","Sat Mar 14 10:47:15 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","2981","Негативный тест: создание билд конфигурации с именем уже созданной конфигурации","","Sat Mar 14 10:47:10 UTC 2026","passed","Sat Mar 14 10:47:13 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userCanNotCreateBuildTypeWithSameNameTest"
"","2019","shouldProvideListOfAvailableAgents(CreateUserResponse)","","Sat Mar 14 10:47:16 UTC 2026","passed","Sat Mar 14 10:47:18 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideListOfAvailableAgents"
"","41306","userCantCreateBuildStepWithSameIdTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:47:24 UTC 2026","broken","Sat Mar 14 10:48:06 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCantCreateBuildStepWithSameIdTest"
"","2516","shouldReturnListOfEnabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 10:47:11 UTC 2026","passed","Sat Mar 14 10:47:13 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfEnabledAgents"
"","39991","userCanNotCreateBuildTypeWithEmptyNameTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 10:47:27 UTC 2026","failed","Sat Mar 14 10:48:07 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanNotCreateBuildTypeWithEmptyNameTest"
"","3549","Негативный тест: получение информации о не существующей билд конфигурации","","Sat Mar 14 10:47:05 UTC 2026","passed","Sat Mar 14 10:47:09 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoAboutNotExistBuildTypeTest"
"","2330","Позитивный тест: создание проекта","","Sat Mar 14 10:47:09 UTC 2026","passed","Sat Mar 14 10:47:11 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userCreateProjectTest"
"","43073","Позитивный тест: созданный по API проект отображается на UI","","Sat Mar 14 10:47:27 UTC 2026","passed","Sat Mar 14 10:48:10 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeVisibleOnUiTest"
"","852","Позитивный тест: обновление параметра name проекта","","Sat Mar 14 10:47:14 UTC 2026","passed","Sat Mar 14 10:47:15 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userUpdateProjectNameTest"
"","6535","shouldCreateStepForExistingBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:47:05 UTC 2026","passed","Sat Mar 14 10:47:12 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldCreateStepForExistingBuild"
"","2616","Негативный тест: получение информации о проекте по несуществующему id","","Sat Mar 14 10:47:06 UTC 2026","passed","Sat Mar 14 10:47:09 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByNotExistIdTest"
"","2461","shouldReturnListOfUnauthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 10:47:14 UTC 2026","passed","Sat Mar 14 10:47:16 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfUnauthorizedAgents"
"","39771","Позитивный тест: проект успешно находится через поиск в sidebar","","Sat Mar 14 10:47:25 UTC 2026","passed","Sat Mar 14 10:48:05 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeFoundBySearchInProjectsSidebarTest"
"","0","userCanCancelStartedBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:47:05 UTC 2026","skipped","Sat Mar 14 10:47:05 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanCancelStartedBuild"
"","1044","Негативный тест: создание проекта с тем же id","","Sat Mar 14 10:47:13 UTC 2026","passed","Sat Mar 14 10:47:14 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userCanNotCreateProjectWithSameIdTest"
"","34758","userCanUnauthorizeAgent(CreateUserResponse, Agent[])","","Sat Mar 14 10:47:26 UTC 2026","passed","Sat Mar 14 10:48:01 UTC 2026","","ui.AgentsTest","ui.AgentsTest","userCanUnauthorizeAgent"
"","52151","userCanCreateBuildStepTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:47:27 UTC 2026","passed","Sat Mar 14 10:48:19 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCanCreateBuildStepTest"
"","2321","shouldReturnListOfDisabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 10:47:15 UTC 2026","passed","Sat Mar 14 10:47:18 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfDisabledAgents"
"","0","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:47:05 UTC 2026","skipped","Sat Mar 14 10:47:05 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue"
"","0","Получение всех рутов","","Sat Mar 14 10:47:12 UTC 2026","skipped","Sat Mar 14 10:47:12 UTC 2026","","api.VCSRootTest","api.VCSRootTest","getAllRoots"
"","0","userCanQueueRegularBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 10:47:05 UTC 2026","skipped","Sat Mar 14 10:47:05 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanQueueRegularBuild"
"","467","Позитивный тест: получение списка проектов","","Sat Mar 14 10:47:12 UTC 2026","passed","Sat Mar 14 10:47:13 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectsListTest"
"","2653","shouldProvideInfoAboutAgentById(CreateUserResponse, Agent[])","","Sat Mar 14 10:47:14 UTC 2026","passed","Sat Mar 14 10:47:17 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideInfoAboutAgentById"
"","3051","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 10:47:11 UTC 2026","passed","Sat Mar 14 10:47:14 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","1386","Позитивный тест: удаление билд конфигурации","","Sat Mar 14 10:47:09 UTC 2026","passed","Sat Mar 14 10:47:10 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteBuildTypeTest"
"","336","shouldNotBeAbleToEnableAgentWithoutPermissions(CreateUserResponse)","","Sat Mar 14 10:47:16 UTC 2026","passed","Sat Mar 14 10:47:17 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldNotBeAbleToEnableAgentWithoutPermissions"
"","232","shouldReturnNotFoundForNonexistentAgent(CreateUserResponse)","","Sat Mar 14 10:47:16 UTC 2026","passed","Sat Mar 14 10:47:17 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnNotFoundForNonexistentAgent"
"","2147","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 10:47:15 UTC 2026","passed","Sat Mar 14 10:47:17 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","246","Негативный тест: удаление несуществующей билд конфигурации","","Sat Mar 14 10:47:16 UTC 2026","passed","Sat Mar 14 10:47:16 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteNotExistBuildTypeTest"
"","756","Создание нового рута","","Sat Mar 14 10:47:11 UTC 2026","passed","Sat Mar 14 10:47:12 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createNewRoot"
"","5240","userCanAccessServerInfoUsingBaseAuth(CreateUserResponse)","","Sat Mar 14 10:47:05 UTC 2026","passed","Sat Mar 14 10:47:10 UTC 2026","","api.LoginTest","api.LoginTest","userCanAccessServerInfoUsingBaseAuth"
"","1280","Позитивный тест: получение информации о созданной билд конфигурации","","Sat Mar 14 10:47:13 UTC 2026","passed","Sat Mar 14 10:47:14 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeTest"
